Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,HomeATT,HomeMID,HomeDEF,AwayOVA,AwayATT,AwayMID,AwayDEF,OVA_diff,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff,HT_win_rate_against,AT_win_rate_against
2006-08-22,Tottenham,Sheffield United,2.0,0.0,H,79,80,77,77,72,71,66,69,7,1,0,-1,-1,0.0,0.0,2.0,-2.0,0.0,1,1,-1,-1,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,,,-1,0,0,0.0,0.0,-2.0,,
2006-08-22,Watford,West Ham,1.0,1.0,D,68,67,67,68,76,77,76,77,-8,1,0,-1,-1,0.0,1.0,2.0,-1.0,0.0,1,3,-1,-1,0.0,3.0,1.0,2.0,1.0,0,0,0,0,0,0,0,0,,,-3,0,0,0.0,-1.0,-3.0,,
2006-08-23,Aston Villa,Reading,2.0,1.0,H,75,76,74,73,71,72,71,64,4,1,1,-1,-1,0.0,1.0,1.0,0.0,0.0,1,3,-1,-1,0.0,3.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,,,-2,0,0,0.0,-1.0,-1.0,,
2006-08-23,Blackburn,Everton,1.0,1.0,D,77,75,77,71,77,74,74,74,0,1,0,-1,-1,0.0,0.0,3.0,-3.0,0.0,1,3,-1,-1,0.0,2.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,,,-3,0,0,0.0,-1.0,-4.0,,
2006-08-23,Charlton,Man United,0.0,3.0,A,75,76,73,70,82,78,80,82,-7,1,0,-1,-1,0.0,1.0,3.0,-2.0,0.0,1,3,-1,-1,0.0,5.0,1.0,4.0,1.0,0,0,0,0,0,0,0,0,,,-3,0,0,0.0,-1.0,-6.0,,
2006-08-23,Fulham,Bolton,1.0,1.0,D,75,77,72,74,76,78,71,68,-1,1,0,-1,-1,0.0,1.0,5.0,-4.0,0.0,1,3,-1,-1,0.0,2.0,0.0,2.0,1.0,0,0,0,0,0,0,0,0,,,-3,0,0,0.0,-1.0,-6.0,,
2006-08-23,Man City,Portsmouth,0.0,0.0,D,77,74,75,75,75,77,73,75,2,1,0,-1,-1,0.0,0.0,3.0,-3.0,0.0,1,3,-1,-1,0.0,3.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0,,,-3,0,0,0.0,-1.0,-6.0,,
2006-08-23,Middlesbrough,Chelsea,2.0,1.0,H,76,80,75,71,84,86,81,80,-8,1,0,-1,-1,0.0,2.0,3.0,-1.0,0.0,1,3,-1,-1,0.0,3.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0,,,-3,0,0,0.0,-1.0,-4.0,,
2006-08-26,Charlton,Bolton,2.0,0.0,H,75,76,73,70,76,78,71,68,-1,2,0,-1,-1,0.0,1.0,6.0,-5.0,0.0,2,4,-1,-1,0.0,3.0,1.0,2.0,0.5,0,0,0,0,0,0,0,0,,,-4,0,0,0.0,-0.5,-7.0,,
2006-08-26,Fulham,Sheffield United,1.0,0.0,H,75,77,72,74,72,71,66,69,3,2,1,-1,-1,0.0,2.0,6.0,-4.0,0.0,2,1,-1,-1,0.0,1.0,3.0,-2.0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0.0,0.0,-2.0,,
2006-08-26,Liverpool,West Ham,2.0,1.0,H,81,81,76,73,76,77,76,77,5,1,1,-1,-1,0.0,1.0,1.0,0.0,0.0,2,4,-1,-1,0.0,4.0,2.0,2.0,0.5,0,0,0,0,0,0,0,0,,,-3,0,0,0.0,-0.5,-2.0,,
2006-08-26,Man City,Arsenal,1.0,0.0,H,77,74,75,75,82,80,78,74,-5,2,1,-1,-1,0.0,0.0,3.0,-3.0,0.0,1,1,-1,-1,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0.0,0.0,-3.0,,
2006-08-26,Tottenham,Everton,0.0,2.0,A,79,80,77,77,77,74,74,74,2,2,3,-1,-1,0.0,2.0,2.0,0.0,0.5,2,4,-1,-1,0.0,3.0,2.0,1.0,0.5,0,0,0,0,0,0,0,0,,,-1,0,0,0.0,0.0,-1.0,,
2006-08-26,Watford,Man United,1.0,2.0,A,68,67,67,68,82,78,80,82,-14,2,1,-1,-1,0.0,2.0,3.0,-1.0,0.0,2,6,-1,-1,0.0,8.0,1.0,7.0,1.0,0,0,0,0,0,0,0,0,,,-5,0,0,0.0,-1.0,-8.0,,
2006-08-26,Wigan,Reading,1.0,0.0,H,74,71,71,69,71,72,71,64,3,1,0,-1,-1,0.0,1.0,2.0,-1.0,0.0,2,3,-1,-1,0.0,4.0,4.0,0.0,0.5,0,0,0,0,0,0,0,0,,,-3,0,0,0.0,-0.5,-1.0,,
2006-08-27,Aston Villa,Newcastle,2.0,0.0,H,75,76,74,73,79,82,77,73,-4,2,4,-1,-1,0.0,3.0,2.0,1.0,0.5,1,3,-1,-1,0.0,2.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,,,1,0,0,0.0,-0.5,0.0,,
2006-08-27,Blackburn,Chelsea,0.0,2.0,A,77,75,77,71,84,86,81,80,-7,2,1,-1,-1,0.0,1.0,4.0,-3.0,0.0,2,3,-1,-1,0.0,4.0,2.0,2.0,0.5,0,0,0,0,0,0,0,0,,,-2,0,0,0.0,-0.5,-5.0,,
2006-08-28,Middlesbrough,Portsmouth,0.0,4.0,A,76,80,75,71,75,77,73,75,1,2,3,-1,-1,0.0,4.0,4.0,0.0,0.5,2,4,-1,-1,0.0,3.0,0.0,3.0,0.5,0,0,0,0,0,0,0,0,,,-1,0,0,0.0,0.0,-3.0,,
2006-09-09,Arsenal,Middlesbrough,1.0,1.0,D,82,80,78,74,76,80,75,71,6,2,1,-1,-1,0.0,1.0,2.0,-1.0,0.0,3,3,-1,-1,0.0,4.0,8.0,-4.0,0.3333333333333333,0,0,0,0,0,0,0,0,,,-2,0,0,0.0,-0.3333333333333333,3.0,,
2006-09-09,Bolton,Watford,1.0,0.0,H,76,78,71,68,68,67,67,68,8,3,4,-1,-1,0.0,3.0,3.0,0.0,0.3333333333333333,3,1,-1,-1,0.0,3.0,5.0,-2.0,0.0,0,0,0,0,0,0,0,0,,,3,0,0,0.0,0.3333333333333333,2.0,,
2006-09-09,Chelsea,Charlton,2.0,1.0,H,84,86,81,80,75,76,73,70,9,3,6,-1,-1,0.0,6.0,2.0,4.0,0.6666666666666666,3,3,-1,-1,0.0,3.0,6.0,-3.0,0.3333333333333333,0,0,0,0,0,0,0,0,,,3,0,0,0.0,0.3333333333333333,7.0,,
2006-09-09,Everton,Liverpool,3.0,0.0,H,77,74,74,74,81,81,76,73,-4,3,7,-1,-1,0.0,5.0,2.0,3.0,0.6666666666666666,2,4,-1,-1,0.0,3.0,2.0,1.0,0.5,0,0,0,0,0,0,0,0,,,3,0,0,0.0,0.1666666666666666,2.0,,
2006-09-09,Man United,Tottenham,1.0,0.0,H,82,78,80,82,79,80,77,77,3,3,9,-1,-1,0.0,10.0,2.0,8.0,1.0,3,3,-1,-1,0.0,2.0,4.0,-2.0,0.3333333333333333,0,0,0,0,0,0,0,0,,,6,0,0,0.0,0.6666666666666667,10.0,,
2006-09-09,Newcastle,Fulham,1.0,2.0,A,79,82,77,73,75,77,72,74,4,2,3,-1,-1,0.0,2.0,3.0,-1.0,0.5,3,4,-1,-1,0.0,3.0,6.0,-3.0,0.3333333333333333,0,0,0,0,0,0,0,0,,,-1,0,0,0.0,0.1666666666666666,2.0,,
2006-09-09,Portsmouth,Wigan,1.0,0.0,H,75,77,73,75,74,71,71,69,1,3,7,-1,-1,0.0,7.0,0.0,7.0,0.6666666666666666,2,3,-1,-1,0.0,2.0,2.0,0.0,0.5,0,0,0,0,0,0,0,0,,,4,0,0,0.0,0.1666666666666666,7.0,,
2006-09-09,Sheffield United,Blackburn,0.0,0.0,D,72,71,66,69,77,75,77,71,-5,3,1,-1,-1,0.0,1.0,4.0,-3.0,0.0,3,1,-1,-1,0.0,1.0,6.0,-5.0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0.0,0.0,2.0,,
2006-09-10,West Ham,Aston Villa,1.0,1.0,D,76,77,76,77,75,76,74,73,1,3,4,-1,-1,0.0,5.0,4.0,1.0,0.3333333333333333,3,7,-1,-1,0.0,5.0,2.0,3.0,0.6666666666666666,0,0,0,0,0,0,0,0,,,-3,0,0,0.0,-0.3333333333333333,-2.0,,
2006-09-11,Reading,Man City,1.0,0.0,H,71,72,71,64,77,74,75,75,-6,3,3,-1,-1,0.0,4.0,5.0,-1.0,0.3333333333333333,3,4,-1,-1,0.0,1.0,3.0,-2.0,0.3333333333333333,0,0,0,0,0,0,0,0,,,-1,0,0,0.0,0.0,1.0,,
2006-09-16,Bolton,Middlesbrough,0.0,0.0,D,76,78,71,68,76,80,75,71,0,4,7,-1,-1,0.0,4.0,3.0,1.0,0.5,4,4,-1,-1,0.0,5.0,9.0,-4.0,0.25,0,0,0,0,0,0,0,0,,,3,0,0,0.0,0.25,5.0,,
2006-09-16,Charlton,Portsmouth,0.0,1.0,A,75,76,73,70,75,77,73,75,0,4,3,-1,-1,0.0,4.0,8.0,-4.0,0.25,4,10,-1,-1,0.0,8.0,0.0,8.0,0.75,0,0,0,0,0,0,0,0,,,-7,0,0,0.0,-0.5,-12.0,,
2006-09-16,Everton,Wigan,2.0,2.0,D,77,74,74,74,74,71,71,69,3,4,10,-1,-1,0.0,8.0,2.0,6.0,0.75,3,3,-1,-1,0.0,2.0,3.0,-1.0,0.3333333333333333,0,0,0,0,0,0,0,0,,,7,0,0,0.0,0.4166666666666667,7.0,,
2006-09-16,Sheffield United,Reading,1.0,2.0,A,72,71,66,69,71,72,71,64,1,4,2,-1,-1,0.0,1.0,4.0,-3.0,0.0,4,6,-1,-1,0.0,5.0,5.0,0.0,0.5,0,0,0,0,0,0,0,0,,,-4,0,0,0.0,-0.5,-3.0,,
2006-09-16,Watford,Aston Villa,0.0,0.0,D,68,67,67,68,75,76,74,73,-7,4,1,-1,-1,0.0,3.0,6.0,-3.0,0.0,4,8,-1,-1,0.0,6.0,3.0,3.0,0.5,0,0,0,0,0,0,0,0,,,-7,0,0,0.0,-0.5,-6.0,,
2006-09-17,Blackburn,Man City,4.0,2.0,H,77,75,77,71,77,74,75,75,0,4,2,-1,-1,0.0,1.0,6.0,-5.0,0.0,4,4,-1,-1,0.0,1.0,4.0,-3.0,0.25,0,0,0,0,0,0,0,0,,,-2,0,0,0.0,-0.25,-2.0,,
2006-09-17,Chelsea,Liverpool,1.0,0.0,H,84,86,81,80,81,81,76,73,3,4,9,-1,-1,0.0,8.0,3.0,5.0,0.75,3,4,-1,-1,0.0,3.0,5.0,-2.0,0.3333333333333333,0,0,0,0,0,0,0,0,,,5,0,0,0.0,0.4166666666666667,7.0,,
2006-09-17,Man United,Arsenal,0.0,1.0,A,82,78,80,82,82,80,78,74,0,4,12,-1,-1,0.0,11.0,2.0,9.0,1.0,3,2,-1,-1,0.0,2.0,3.0,-1.0,0.0,1,0,0,0,0,0,0,0,,,10,0,0,0.0,1.0,10.0,,
2006-09-17,Tottenham,Fulham,0.0,0.0,D,79,80,77,77,75,77,72,74,4,4,3,-1,-1,0.0,2.0,5.0,-3.0,0.25,4,7,-1,-1,0.0,5.0,7.0,-2.0,0.5,0,0,0,0,0,0,0,0,,,-4,0,0,0.0,-0.25,-1.0,,
2006-09-17,West Ham,Newcastle,0.0,2.0,A,76,77,76,77,79,82,77,73,-3,4,5,-1,-1,0.0,6.0,5.0,1.0,0.25,3,3,-1,-1,0.0,3.0,5.0,-2.0,0.3333333333333333,0,0,0,0,0,0,0,0,,,2,0,0,0.0,-0.0833333333333333,3.0,,
2006-09-20,Liverpool,Newcastle,2.0,0.0,H,81,81,76,73,79,82,77,73,2,4,4,-1,-1,0.0,3.0,6.0,-3.0,0.25,4,6,-1,-1,0.0,5.0,5.0,0.0,0.5,0,0,0,0,0,0,0,0,,,-2,0,0,0.0,-0.25,-3.0,,
2006-09-23,Arsenal,Sheffield United,3.0,0.0,H,82,80,78,74,72,71,66,69,10,4,5,-1,-1,0.0,3.0,3.0,0.0,0.25,5,2,-1,-1,0.0,2.0,6.0,-4.0,0.0,0,0,0,0,0,0,0,0,,0.0,3,0,0,0.0,0.25,4.0,,
2006-09-23,Aston Villa,Charlton,2.0,0.0,H,75,76,74,73,75,76,73,70,0,5,9,-1,-1,0.0,6.0,3.0,3.0,0.4,5,3,-1,-1,0.0,4.0,9.0,-5.0,0.2,0,0,0,0,0,0,0,0,0.4,0.2,6,0,0,0.0,0.2,8.0,,
2006-09-23,Fulham,Chelsea,0.0,2.0,A,75,77,72,74,84,86,81,80,-9,5,8,-1,-1,0.0,5.0,7.0,-2.0,0.4,5,12,-1,-1,0.0,9.0,3.0,6.0,0.8,0,0,0,0,1,0,0,0,0.4,0.8,-4,0,0,0.0,-0.4,-8.0,,
2006-09-23,Liverpool,Tottenham,3.0,0.0,H,81,81,76,73,79,80,77,77,2,5,7,-1,-1,0.0,5.0,6.0,-1.0,0.4,5,4,-1,-1,0.0,2.0,5.0,-3.0,0.2,0,0,0,0,0,0,0,0,0.4,0.2,3,0,0,0.0,0.2,2.0,,
2006-09-23,Man City,West Ham,2.0,0.0,H,77,74,75,75,76,77,76,77,1,5,4,-1,-1,0.0,3.0,8.0,-5.0,0.2,5,5,-1,-1,0.0,6.0,7.0,-1.0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,-1,0,0,0.0,0.0,-4.0,,
2006-09-23,Middlesbrough,Blackburn,0.0,1.0,A,76,80,75,71,77,75,77,71,-1,5,5,-1,-1,0.0,5.0,9.0,-4.0,0.2,5,5,-1,-1,0.0,5.0,8.0,-3.0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.0,0.0,-1.0,,
2006-09-23,Reading,Man United,1.0,1.0,D,71,72,71,64,82,78,80,82,-11,5,9,-1,-1,0.0,7.0,6.0,1.0,0.6,5,12,-1,-1,0.0,11.0,3.0,8.0,0.8,0,0,0,0,0,0,0,0,0.6,0.8,-3,0,0,0.0,-0.2,-7.0,,
2006-09-23,Wigan,Watford,1.0,1.0,D,74,71,71,69,68,67,67,68,6,4,4,-1,-1,0.0,4.0,5.0,-1.0,0.25,5,2,-1,-1,0.0,3.0,6.0,-3.0,0.0,0,0,0,0,0,0,0,0,,0.0,2,0,0,0.0,0.25,2.0,,
2006-09-24,Newcastle,Everton,1.0,1.0,D,79,82,77,73,77,74,74,74,2,5,6,-1,-1,0.0,5.0,7.0,-2.0,0.4,5,11,-1,-1,0.0,10.0,4.0,6.0,0.6,0,0,0,0,0,0,0,0,0.4,0.6,-5,0,0,0.0,-0.1999999999999999,-8.0,,
2006-09-25,Portsmouth,Bolton,0.0,1.0,A,75,77,73,75,76,78,71,68,-1,5,13,-1,-1,0.0,9.0,0.0,9.0,0.8,5,8,-1,-1,0.0,4.0,3.0,1.0,0.4,1,0,0,0,0,0,0,0,0.8,0.4,5,0,0,0.0,0.4,8.0,,
2006-09-30,Bolton,Liverpool,2.0,0.0,H,76,78,71,68,81,81,76,73,-5,6,11,-1,-1,0.0,5.0,3.0,2.0,0.5,6,10,-1,-1,0.0,8.0,6.0,2.0,0.5,0,0,0,0,0,0,0,0,0.4,0.6,1,0,0,0.0,0.0,0.0,,
2006-09-30,Charlton,Arsenal,1.0,2.0,A,75,76,73,70,82,80,78,74,-7,6,3,-1,-1,0.0,4.0,11.0,-7.0,0.1666666666666666,5,8,-1,-1,0.0,6.0,3.0,3.0,0.4,0,0,1,0,0,0,0,0,0.2,0.4,-5,0,0,0.0,-0.2333333333333333,-10.0,,
2006-09-30,Chelsea,Aston Villa,1.0,1.0,D,84,86,81,80,75,76,74,73,9,6,15,-1,-1,0.0,11.0,3.0,8.0,0.8333333333333334,6,12,-1,-1,0.0,8.0,3.0,5.0,0.5,1,0,0,0,0,0,0,0,0.8,0.6,3,0,0,0.0,0.3333333333333333,3.0,,
2006-09-30,Everton,Man City,1.0,1.0,D,77,74,74,74,77,74,75,75,0,6,12,-1,-1,0.0,11.0,5.0,6.0,0.5,6,7,-1,-1,0.0,5.0,8.0,-3.0,0.3333333333333333,0,0,0,0,0,0,0,0,0.4,0.4,5,0,0,0.0,0.1666666666666666,9.0,,
2006-09-30,Sheffield United,Middlesbrough,2.0,1.0,H,72,71,66,69,76,80,75,71,-4,6,2,-1,-1,0.0,2.0,9.0,-7.0,0.0,6,5,-1,-1,0.0,5.0,10.0,-5.0,0.1666666666666666,0,0,0,0,0,0,0,0,0.0,0.2,-3,0,0,0.0,-0.1666666666666666,-2.0,,
2006-10-01,Blackburn,Wigan,2.0,1.0,H,77,75,77,71,74,71,71,69,3,6,8,-1,-1,0.0,6.0,8.0,-2.0,0.3333333333333333,5,5,-1,-1,0.0,5.0,6.0,-1.0,0.2,0,0,0,0,0,0,0,0,0.4,0.2,3,0,0,0.0,0.1333333333333333,-1.0,,
2006-10-01,Man United,Newcastle,2.0,0.0,H,82,78,80,82,79,82,77,73,3,6,13,-1,-1,0.0,12.0,4.0,8.0,0.6666666666666666,6,7,-1,-1,0.0,6.0,8.0,-2.0,0.3333333333333333,0,0,0,0,0,0,0,0,0.6,0.2,6,0,0,0.0,0.3333333333333333,10.0,,
2006-10-01,Tottenham,Portsmouth,2.0,1.0,H,79,80,77,77,75,77,73,75,4,6,4,-1,-1,0.0,2.0,8.0,-6.0,0.1666666666666666,6,13,-1,-1,0.0,9.0,1.0,8.0,0.6666666666666666,0,0,0,0,0,0,0,0,0.2,0.6,-9,0,0,0.0,-0.5,-14.0,,
2006-10-01,West Ham,Reading,0.0,1.0,A,76,77,76,77,71,72,71,64,5,6,5,-1,-1,0.0,6.0,9.0,-3.0,0.1666666666666666,6,10,-1,-1,0.0,8.0,7.0,1.0,0.5,0,0,0,0,0,0,0,0,0.0,0.4,-5,0,0,0.0,-0.3333333333333333,-4.0,,
2006-10-02,Watford,Fulham,3.0,3.0,D,68,67,67,68,75,77,72,74,-7,6,3,-1,-1,0.0,4.0,7.0,-3.0,0.0,6,8,-1,-1,0.0,5.0,9.0,-4.0,0.3333333333333333,0,0,0,0,0,0,0,0,0.0,0.4,-5,0,0,0.0,-0.3333333333333333,1.0,,
2006-10-14,Arsenal,Watford,3.0,0.0,H,82,80,78,74,68,67,67,68,14,6,11,-1,-1,0.0,8.0,4.0,4.0,0.5,7,4,-1,-1,0.0,7.0,10.0,-3.0,0.0,1,0,0,0,0,0,0,0,0.6,0.0,7,0,0,0.0,0.5,7.0,,
2006-10-14,Aston Villa,Tottenham,1.0,1.0,D,75,76,74,73,79,80,77,77,-4,7,13,-1,-1,0.0,9.0,4.0,5.0,0.4285714285714285,7,7,-1,-1,0.0,4.0,9.0,-5.0,0.2857142857142857,0,0,0,0,0,0,0,0,0.4,0.2,6,0,0,0.0,0.1428571428571428,10.0,,
2006-10-14,Liverpool,Blackburn,1.0,1.0,D,81,81,76,73,77,75,77,71,4,7,10,-1,-1,0.0,8.0,8.0,0.0,0.4285714285714285,7,11,-1,-1,0.0,8.0,9.0,-1.0,0.4285714285714285,0,0,0,0,1,0,0,0,0.4,0.6,-1,0,0,0.0,0.0,1.0,,
2006-10-14,Man City,Sheffield United,0.0,0.0,D,77,74,75,75,72,71,66,69,5,7,8,-1,-1,0.0,6.0,9.0,-3.0,0.2857142857142857,7,5,-1,-1,0.0,4.0,10.0,-6.0,0.1428571428571428,0,0,0,0,0,0,0,0,0.4,0.2,3,0,0,0.0,0.1428571428571428,3.0,,
2006-10-14,Middlesbrough,Everton,2.0,1.0,H,76,80,75,71,77,74,74,74,-1,7,5,-1,-1,0.0,6.0,12.0,-6.0,0.1428571428571428,7,13,-1,-1,0.0,12.0,6.0,6.0,0.4285714285714285,0,0,0,0,0,0,0,0,0.0,0.4,-8,0,0,0.0,-0.2857142857142857,-12.0,,
2006-10-14,Portsmouth,West Ham,2.0,0.0,H,75,77,73,75,76,77,76,77,-1,7,13,-1,-1,0.0,10.0,3.0,7.0,0.5714285714285714,7,5,-1,-1,0.0,6.0,10.0,-4.0,0.1428571428571428,0,0,0,0,0,0,1,0,0.6,0.0,8,0,0,0.0,0.4285714285714285,11.0,,
2006-10-14,Reading,Chelsea,0.0,1.0,A,71,72,71,64,84,86,81,80,-13,7,13,-1,-1,0.0,9.0,7.0,2.0,0.5714285714285714,7,16,-1,-1,0.0,12.0,4.0,8.0,0.7142857142857143,0,0,0,0,0,0,0,0,0.6,0.8,-3,0,0,0.0,-0.1428571428571429,-6.0,,
2006-10-14,Wigan,Man United,1.0,3.0,A,74,71,71,69,82,78,80,82,-8,6,5,-1,-1,0.0,6.0,8.0,-2.0,0.1666666666666666,7,16,-1,-1,0.0,14.0,4.0,10.0,0.7142857142857143,0,0,0,0,0,0,0,0,0.2,0.6,-11,0,0,0.0,-0.5476190476190477,-12.0,,
2006-10-15,Newcastle,Bolton,1.0,2.0,A,79,82,77,73,76,78,71,68,3,7,7,-1,-1,0.0,6.0,10.0,-4.0,0.2857142857142857,7,14,-1,-1,0.0,7.0,3.0,4.0,0.5714285714285714,0,0,0,0,0,0,0,0,0.2,0.6,-7,0,0,0.0,-0.2857142857142857,-8.0,,
2006-10-16,Fulham,Charlton,2.0,1.0,H,75,77,72,74,75,76,73,70,0,7,9,-1,-1,0.0,8.0,12.0,-4.0,0.2857142857142857,7,3,-1,-1,0.0,5.0,13.0,-8.0,0.1428571428571428,0,0,0,0,0,0,1,0,0.4,0.2,6,0,0,0.0,0.1428571428571428,4.0,,
2006-10-21,Aston Villa,Fulham,1.0,1.0,D,75,76,74,73,75,77,72,74,0,8,14,-1,-1,0.0,10.0,5.0,5.0,0.375,8,12,-1,-1,0.0,10.0,13.0,-3.0,0.375,0,0,0,0,0,0,0,0,0.2,0.4,2,0,0,0.0,0.0,8.0,,
2006-10-21,Charlton,Watford,0.0,0.0,D,75,76,73,70,68,67,67,68,7,8,3,-1,-1,0.0,6.0,15.0,-9.0,0.125,8,4,-1,-1,0.0,7.0,13.0,-6.0,0.0,0,0,1,1,0,0,0,0,0.0,0.0,-1,0,0,0.0,0.125,-3.0,,
2006-10-21,Chelsea,Portsmouth,2.0,1.0,H,84,86,81,80,75,77,73,75,9,8,19,-1,-1,0.0,13.0,4.0,9.0,0.75,8,16,-1,-1,0.0,12.0,3.0,9.0,0.625,0,0,0,0,0,0,0,0,0.8,0.6,3,0,0,0.0,0.125,0.0,,
2006-10-21,Everton,Sheffield United,2.0,0.0,H,77,74,74,74,72,71,66,69,5,8,13,-1,-1,0.0,13.0,8.0,5.0,0.375,8,6,-1,-1,0.0,4.0,10.0,-6.0,0.125,0,0,0,0,0,0,0,0,0.2,0.2,7,0,0,0.0,0.25,11.0,,
2006-10-21,Wigan,Man City,4.0,0.0,H,74,71,71,69,77,74,75,75,-3,7,5,-1,-1,0.0,7.0,11.0,-4.0,0.1428571428571428,8,9,-1,-1,0.0,6.0,9.0,-3.0,0.25,0,0,0,0,0,0,0,0,0.0,0.2,-4,0,0,0.0,-0.1071428571428571,-1.0,,
2006-10-22,Blackburn,Bolton,0.0,1.0,A,77,75,77,71,76,78,71,68,1,8,12,-1,-1,0.0,9.0,10.0,-1.0,0.375,8,17,-1,-1,0.0,9.0,4.0,5.0,0.625,0,0,0,0,1,0,0,0,0.6,0.8,-5,0,0,0.0,-0.25,-6.0,,
2006-10-22,Man United,Liverpool,2.0,0.0,H,82,78,80,82,81,81,76,73,1,8,19,-1,-1,0.0,17.0,5.0,12.0,0.75,8,11,-1,-1,0.0,9.0,9.0,0.0,0.375,0,0,0,0,0,0,0,0,0.6,0.4,8,0,0,0.0,0.375,12.0,,
